Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612762,0022401004,"FEB 13, 2025",UTA vs. LAC,L,13,41,0.241,265,38,78,0.487,18,45,0.4,22,26,0.846,9,38,47,23,7,1,26,25,116
1610612762,0022400781,"FEB 12, 2025",UTA vs. LAL,W,13,40,0.245,240,45,86,0.523,15,41,0.366,26,33,0.788,11,37,48,30,10,8,12,21,131
1610612762,0022400768,"FEB 10, 2025",UTA @ LAL,L,12,40,0.231,240,39,84,0.464,12,40,0.3,23,27,0.852,11,28,39,29,6,3,19,17,113
1610612762,0022400751,"FEB 08, 2025",UTA @ LAC,L,12,39,0.235,240,39,83,0.47,17,43,0.395,15,18,0.833,12,26,38,26,7,4,19,21,110
1610612762,0022400740,"FEB 07, 2025",UTA @ PHX,L,12,38,0.24,265,48,117,0.41,13,48,0.271,18,20,0.9,25,38,63,29,5,7,10,16,127
1610612762,0022400725,"FEB 05, 2025",UTA vs. GSW,W,12,37,0.245,240,48,92,0.522,13,37,0.351,22,27,0.815,12,36,48,30,5,5,12,23,131
1610612762,0022400707,"FEB 03, 2025",UTA vs. IND,L,11,37,0.229,240,39,91,0.429,13,37,0.351,20,30,0.667,17,43,60,31,5,4,18,17,111
1610612762,0022400687,"FEB 01, 2025",UTA vs. ORL,W,11,36,0.234,240,39,84,0.464,14,35,0.4,21,24,0.875,8,43,51,26,5,7,16,27,113
1610612762,0022400677,"JAN 30, 2025",UTA vs. MIN,L,10,36,0.217,240,39,77,0.506,14,34,0.412,21,25,0.84,3,20,23,21,6,4,15,20,113
1610612762,0022400661,"JAN 28, 2025",UTA @ GSW,L,10,35,0.222,240,39,76,0.513,8,26,0.308,17,24,0.708,5,34,39,30,4,6,15,24,103
1610612762,0022400658,"JAN 27, 2025",UTA vs. MIL,L,10,34,0.227,240,41,100,0.41,18,54,0.333,10,13,0.769,15,31,46,28,8,1,10,19,110
1610612762,0022400643,"JAN 25, 2025",UTA @ MEM,L,10,33,0.233,240,39,92,0.424,12,47,0.255,13,16,0.813,14,26,40,27,8,5,17,22,103
1610612762,0022400618,"JAN 22, 2025",UTA @ OKC,L,10,32,0.238,240,42,90,0.467,14,37,0.378,16,24,0.667,23,29,52,25,3,6,27,20,114
1610612762,0022400605,"JAN 20, 2025",UTA @ NOP,L,10,31,0.244,265,42,106,0.396,11,46,0.239,24,30,0.8,19,44,63,25,6,4,13,19,119
1610612762,0022400581,"JAN 17, 2025",UTA @ NOP,L,10,30,0.25,240,43,86,0.5,13,38,0.342,24,30,0.8,7,33,40,30,7,8,15,20,123
1610612762,0022400569,"JAN 15, 2025",UTA vs. CHA,L,10,29,0.256,240,43,93,0.462,16,43,0.372,10,17,0.588,9,27,36,30,5,4,10,18,112
1610612762,0022400546,"JAN 12, 2025",UTA vs. BKN,W,10,28,0.263,265,40,90,0.444,17,44,0.386,15,20,0.75,6,35,41,25,7,6,9,30,112
